TF	miRNA
ESR1	hsa-miR-20b-3p
ESR1	hsa-miR-20b-5p
ESR1	hsa-miR-21-3p
ESR1	hsa-miR-21-5p
ESR1	hsa-miR-221-3p
ESR1	hsa-miR-221-5p
ESR1	hsa-miR-222-3p
ESR1	hsa-miR-222-5p
ESR1	hsa-miR-22-3p
ESR1	hsa-miR-22-5p
ESR1	hsa-miR-363-3p
ESR1	hsa-miR-363-5p
ESR1	hsa-miR-425-3p
ESR1	hsa-miR-425-5p
ESR1	hsa-miR-497-3p
ESR1	hsa-miR-497-5p
ESR1	hsa-miR-92a-2-5p
ESR1	hsa-miR-92a-3p
ESR1	hsa-miR-99a-3p
ESR1	hsa-miR-99a-5p
ESR2	hsa-miR-23b-3p
ESR2	hsa-miR-23b-5p
ESR2	hsa-miR-24-1-5p
ESR2	hsa-miR-24-3p
ESR2	hsa-miR-27b-3p
ESR2	hsa-miR-27b-5p
ESR2	hsa-miR-30a-3p
ESR2	hsa-miR-30a-5p
ETS1	hsa-miR-126-3p
ETS1	hsa-miR-126-5p
ETS1	hsa-miR-146a-3p
ETS1	hsa-miR-146a-5p
ETS1	hsa-miR-155-3p
ETS1	hsa-miR-155-5p
ETS1	hsa-miR-181c-3p
ETS1	hsa-miR-181c-5p
