miRNA	Gene
mmu-miR-7a-5p	Mknk2
mmu-miR-7a-5p	Mknk1
mmu-miR-342-5p	Akt1
mmu-miR-144-3p	Abca1
mmu-miR-22-3p	Hdac4
mmu-miR-22-3p	SIRT1
mmu-miR-24-3p	Neurod1
mmu-miR-24-3p	Hnf1a
mmu-miR-29b-3p	Akt3
mmu-miR-29c-3p	Akt3
mmu-miR-200b-3p	Dcx
mmu-miR-466a-3p	Dcx
mmu-miR-200a-3p	Dcx
mmu-miR-466d-3p	Dcx
mmu-miR-200b-3p	Pafah1b1
mmu-miR-466a-3p	Pafah1b1
mmu-miR-466d-3p	Pafah1b1
mmu-miR-200a-3p	Pafah1b1
mmu-miR-181a-5p	Xiap
mmu-miR-181a-5p	Mecp2
mmu-miR-211-5p	Tcf3
mmu-miR-224-5p	Acsl4
mmu-miR-224-5p	Egr2
mmu-miR-450b-5p	Pax9
mmu-miR-450b-5p	Enox2
mmu-miR-22-3p	Max
mmu-miR-24-3p	Oxt
mmu-miR-29a-3p	Pdgfrb
mmu-miR-200a-3p	Pkd1
mmu-miR-200b-3p	Pkd1
mmu-miR-29b-3p	Sirt1
mmu-miR-200c-3p	Sox2
mmu-miR-295-5p	Pax6
mmu-miR-294-5p	Pax6
mmu-miR-291a-3p	Pax6
mmu-miR-322-5p	TOB2
mmu-miR-203-3p	Snora62
mmu-miR-875-5p	Prdx3
mmu-miR-203-3p	Cav1
mmu-miR-214-3p	Sp7
mmu-miR-29a-3p	Bace1
mmu-miR-29b-3p	Bace1
mmu-miR-204-5p	Bcl2
mmu-miR-204-5p	Ntrk2
mmu-miR-150-5p	Cbl
mmu-miR-150-5p	Egr2
mmu-miR-142a-3p	Il6st
mmu-miR-1a-3p	Mkl1
mmu-miR-29a-3p	Col4a1
mmu-miR-29a-3p	Col4a2
mmu-miR-29a-3p	Col4a3
mmu-miR-29a-3p	Col4a4
mmu-miR-29a-3p	Col4a5
mmu-miR-29a-3p	Col4a6
mmu-miR-29b-3p	Col4a6
mmu-miR-29b-3p	Col4a5
mmu-miR-29b-3p	Col4a4
mmu-miR-29b-3p	Col4a3
mmu-miR-29b-3p	Col4a1
